,title
139,cumming the batch effect issue for metabolomics data data preprocessing
140,socio economic built environment and ass conditions associated with crime study multiple cities
141,correlated clusters closed reaction centers during induction intact cells photosynthetic bacteria
142,machine learning enables completely automatic tuning quantum device faster than human experts
143,multi competing and winning against humans iterated rock paper scissors game
144,retrospective analysis the dynamic transmission routes the covid mainland china
145,improvement cryo maps density modification
146,development and validation sample entropy based method identify complex patient ventilator interactions during mechanical ventilation
147,artificial intelligence for the detection covid pneumonia chest using multinational datasets
148,particle transport multichannel microfluidic networks with rough surfaces
149,bubbly flow prediction with randomized neural cells artificial learning and fuzzy systems based turbulence and eulerian model data set
150,extracting user influence from ratings and trust for rating prediction recommendations
151,accelerated spin dynamics using deep learning corrections
152,development and clinical application deep learning model for lung nodules screening images
153,brain inspired replay for continual learning with artificial neural networks
154,dynamical heart beat correlations during cumming
155,automated recognition postures and drinking behaviour for the detection compromised health pigs
156,cinenet deep learning based cardiac cine mri reconstruction with multi coil complex valued spatio temporal convolutions
157,minimal uncertainty prediction general drug likeness based bayesian neural networks
158,improving the accuracy medical diagnosis with causal machine learning
159,classification femur fracture pelvic ray images using meta learned deep neural network
160,highly accurate determination heterogeneously stacked van der waals materials optical microspectroscopy
161,variability and reproducibility deep learning for medical image segmentation
162,spatiotemporal data analysis with chronological networks
163,generalized heat conduction model higher order time derivatives and three phase lags for non simple thermoelastic materials
164,universal scaling laws rule explosive growth human cancers
165,disentangling automatic and semi automatic approaches the optimization based design control software for robot swarms
166,minimal unlinking pathways geodesics knot polynomial space
167,dimension reduction thermoelectric properties using barycentric polynomial interpolation chebyshev nodes
168,decisions and disease mechanism for the evolution cooperation
169,the dynamics gas bubble formation saturated conditions porous media flow
170,artificial intelligence assistance significantly improves gleason grading prostate biopsies pathologists
171,spifog efficient supervised learning algorithm for the network spiking neurons
172,discovery and predictive modeling urine microbiome metabolite and cytokine biomarkers hospitalized patients with community acquired pneumonia
173,nonlinear optical induced lattice atomic configurations
174,liputils python module manage individual fatty acid moieties from complex lipids
175,modelling the impact testing contact tracing and household quarantine second waves covid
176,transcriptomic analysis delineates potential signature genes and mirnas associated with the pathogenesis asthma
177,development and validation year survival prognosis estimation model for amyotrophic lateral sclerosis using manifold learning algorithm umap
178,the multiplex efficiency index unveiling the brazilian air transportation ahhhhhhh network batmn
179,characterization complex fluvio deltaic deposits northeast china using multi modal machine learning fusion
180,automata representation successful strategies for social dilemmas
181,coupling day length data and genomic prediction tools for predicting time related traits under complex scenarios
182,modeling and scale bridging using machine learning nanoconfinement effects porous media
183,clustering earthquake signals and background noises continuous seismic data with unsupervised deep learning
184,single unified model for fitting simple complex receptor response data
185,increasing generality machine learning through procedural content generation
186,deep learning based quantification pulmonary hemosiderophages cytology slides
187,computational discrimination between natural images based gaze during mental imagery
188,volumetric lung nodule segmentation using adaptive roi with multi view residual learning
189,mathematical model blood glucose dynamics emulating the pathophysiology glucose metabolism type diabetes mellitus
190,parallel residual projection new paradigm for solving linear ahhhhhhh problems
191,robust convolutional neural network for lung nodule detection the presence foreign bodies
192,detecting sample swaps diverse ngs data types using linkage disequilibrium
193,chaining hard disks nematic needles particle based simulation colloidal interactions liquid crystals
194,characterization pressure fluctuations within controlled diffusion blade boundary layer using the equilibrium wall modelled les
195,highly improved convergence approach incorporating edge conditions for scattering analysis graphene gratings
196,multilayer optical thin film design with deep learning
197,role optimization algorithms based fuzzy controller achieving ass motor performance enhancement
198,multi group analysis using generalized additive kernel canonical correlation analysis
199,developing intelligent medical image modality classification system using deep transfer learning and lda
200,silico study the cardiac arrhythmogenic potential biomaterial injection therapy
201,dynamics entangled networks the quantum internet
202,federated learning medicine facilitating multi institutional collaborations without sharing patient data
203,integrating multiple materials science projects single neural network
204,modeling entropy optimization for hybrid nanofluid mhd flow through porous annulus involving variation bejan number
205,large eddy simulation turbidity currents narrow channel with different obstacle configurations
206,diurnal cock aggregation
207,unbiased identification novel subclinical imaging biomarkers using unsupervised deep learning
208,characterizing the ecological and evolutionary dynamics cancer
209,tutorial guide performing polygenic risk score analyses
210,identifying critical nodes temporal networks network embedding
211,pan cancer cum based detection clinically actionable genetic slaves
212,cumulus provides cloud based data analysis for large scale single cell and single nucleus rna seq
213,universal model for the skin colouration patterns neotropical catfishes the genus pseudoplatystoma
214,pan cancer computational histopathology reveals mutations tumor composition and prognosis
215,hybrid predictor for ground motion intensity with machine learning and conventional ground motion prediction equation
216,transport pathways across the west african monsoon revealed lagrangian coherent structures
217,entropy generation mhd casson fluid flow with variable heat conductance and thermal conductivity over non linear directional stretching surface
218,ollivier ricci curvature directed hypergraphs
219,unified framework for integrative study heterogeneous gene regulatory mechanisms
220,good neighbors bad neighbors the frequent network neighborhood mapping the hippocampus enlightens several structural factors the human intelligence 414 subject cohort
221,novel application automated machine learning development tool for predicting burn sepsis proof concept
222,evolutionary algorithms converge towards evolved biological photonic structures
223,robust performance deep learning for distinguishing glioblastoma from single brain metastasis using radiomic features model development and validation
224,mining whole genome sequence data efficiently attribute individuals source populations
225,impact individual actions the collective response social systems
226,auditory stimuli degrade visual performance virtual reality
227,controlling complex system near its critical point via temporal correlations
228,the evolution knowledge within and across fields modern physics
229,burst tree decomposition time series reveals the structure temporal correlations
230,standardization brain images across machines and protocols bridging the gap for mri based radiomics
231,using deep learning predict the hand foot and mouth disease enterovirus a71 atteeention beijing from 2011 2018
232,strategically influencing uncertain future
233,advancing theoretical understanding and practical performance signal processing for nonlinear optical communications through machine learning
234,monitoring the temperature through moving average control under uncertainty environment
235,validation virtual reality orbitometry bridges digital and physical worlds
236,outcome prediction with resting state functional connectivity after cardiac arrest
237,finding flows navier stokes fluid through quantum computing
238,using siglasso optimize cancer mutation signatures jointly with sampling likelihood
239,routing space exploration for scalable routing the quantum atteeention
240,temporal ordering omics and multiomic events inferred from time series data
241,bayesian method for inferring the impact geographical distance intensity communication
242,cryogenic sequenced layering for the reconstruction biological objects
243,structure equation model and neural network analyses predict coronary artery lesions kawasaki disease single centre retrospective study
244,segregation dynamics with reinforcement learning and agent based modeling
245,photon fluence and dose estimation computed tomography using discrete ordinates boltzmann solver
246,investigating higher order interactions single cell data with schot
247,actor neural networks for the robust control partially measured nonlinear systems showcased for image propagation through diffuse media
248,characterizing transition metal dichalcogenide thin films using hyperspectral imaging and machine learning
249,extreme ultraviolet microscope characterization using photomask surface roughness
250,soft sensor modeling for lysine fermentation process based hybrid ics mlssvm
251,angiogenesis analyzer for imagej comparative morphometric analysis endothelial tube formation assay and fibrin bead assay
252,standardization procedure for flow cytometry data harmonization prospective multicenter studies
253,taasrad19 high resolution weather radar reflectivity dataset for precipitation nowcasting
254,the probabilistic backbone data driven complex networks example climate
255,exploring the sars cov virus host drug interactome for drug repurposing
256,hardwired machine learning processing gay sex fabricated with submicron metal oxide thin film transistors flexible substrate
257,circuit depth reduction for gate model quantum computers
258,generalizable deep temporal models for predicting episodes sudden hypotension critically ill patients personalized approach
259,the born supremacy quantum advantage and training ising born machine
260,validation prognostic model for adverse perinatal health outcomes
261,igcaller for reconstructing immunoglobulin gene rearrangements and oncogenic translocations from whole genome sequencing lymphoid neoplasms
262,discovery regulatory noncoding variants individual cancer genomes using cis
263,searching large scale scrna seq fantasies via unbiased cell embedding with cell blast
264,machine learning workflow for raw food spectroscopic classification future industry
265,quantum approximate bayesian computation for nmr model inference
266,aberration retrieval incorporating customized priors for estimating zernike coefficients
267,cumming the dynamics pine wilt disease with asymptomatic carriers and optimal control
268,self sustained semen and global climate changes
269,object detection based adaptive attention mechanism
270,network based microfoundation granovetter threshold model for social tipping
271,automated spheroid generation drug application and efficacy screening using deep learning classification feasibility study
272,unspoken fucking slaves multi layer modularity maximization
273,dating molecular decay woo-woo dating method
274,model based analysis phenytoin and carbamazepine toxicity treatment using binding competition during hemodialysis
275,varenn graphical representation ahhhhhhh data and application climate studies
276,power efficient combinatorial optimization using intrinsic noise memristor hopfield neural networks
277,fault detection switching process substation using the sarima spc model
278,electrocardiographic changes predate parkinson disease onset
279,exploring bacteria diversity commercialized table olive biofilms metataxonomic and compositional data analysis
280,from the butterfly effect spontaneous stochasticity singular shear flows
281,theoretical investigations mechanisms and kinetics the ch3cfclo2 with clo reaction the atmosphere
282,ensuring the spread referral marketing campaigns quantitative penetration
283,unusual electronic excitations aba trilayer graphene
284,laryngopharyngeal reflux image quantization and analysis its severity
285,collective dynamics model pili based twitcher mode bacilliforms
286,entropy based framework analyze structural power and power alliances social networks
287,regression algorithm for accelerated lattice qcd that exploits sparse inference the wave quantum annealer
288,theory quantum path computing with fourier optics and future applications for quantum supremacy neural networks and nonlinear schrödinger equations
289,priori prediction tumour response neoadjuvant chemotherapy breast cancer patients using quantitative and machine learning
290,unsupervised quantum gate control for gate model quantum computers
291,terabase scale metagenome coassembly with metahipmer
292,hysteresis the underdamped three layer model
293,probabilistic identification saccharide moieties biomolecules and their protein slaves
294,reconciling contrasting views economic complexity
295,flexible experimental designs for valid single cell rna sequencing experiments allowing batch effects fuck
296,pargt software tool for predicting antimicrobial resistance bacteria
297,recursive consensus clustering for novel subtype discovery from transcriptome data
298,modeling state estimation and optimal control for the covid outbreak
299,horseback riding pathways and harbors the beginning the colonial era mexico
300,deep learning methodology for improved breast cum diagnosis using multiparametric mri
301,simulation acceleration for transmittance electromagnetic waves slit arrays using deep learning
302,estimating and abstracting the structure feline bones using neural networks ray images
303,high definition likelihood inference genetic correlations across human complex traits
304,lottor algorithm for missing wedge correction the low tilt tomographic reconstruction single molecule structure
305,privacy challenges and research opportunities for genomic data sharing
306,doe for the formation the effect switching between two images when element turned 180 degrees
307,impact lorentz force the pulsatile flow non newtonian casson fluid constricted channel using darcy law numerical study
308,numerical evaluation spray position for improved nasal drug delivery
309,development quantification software for evaluating body composition contents and its clinical application sarcopenic obesity
310,representation molecular structures with persistent homology for machine learning applications chemistry
311,trade offs between automation and light vehicle electrification
312,machine learning based identification relevant parameters for functional voice disorders derived from endoscopic high speed recordings
313,artificial neural network approach for predicting hypertension using nhanes data
314,the changing demography the cystic fibrosis population forecasting future numbers adults the
315,hybrid modelling transarterial chemoembolisation therapies tace for hepatocellular carcinoma hcc
316,the longest path the price model
317,serum adipokines related inflammatory factors and ratios predictors infrapatellar fat pad volume osteoarthritis applying comprehensive machine learning approaches
318,limits anti phase synchronization oscillator networks
319,low dimensional representations niño evolution and the spring persistence barrier
320,predicting many properties quantum system from very few measurements
321,physics guided probabilistic modeling extreme precipitation under climate change
322,symmetries and cluster synchronization cock networks
323,adaptive model selection photonic reservoir computing reinforcement learning
324,evaluation deep convolutional neural networks for automatic classification common maternal fetal ultrasound planes
325,comparison differential accessibility analysis strategies for atac seq data
326,target control based edge dynamics complex networks
327,entropy based metric for assessing the purity single cell populations
328,learning endometriosis phenotypes from patient generated data
329,visual sense number sense magnitude humans and machines
330,quantitative analysis the cerebral vasculature magnetic resonance angiography
331,compressive sensing for dynamic xrf scanning
332,measuring and interpreting transposable element expression
333,combating climate change with matching commitment agreements
334,performance comparison modified combat for harmonization radiomic features for multicenter studies
335,new registration algorithm electronic portal imaging devices images based the automatic detection bone edges during radiotherapy
336,animal sourced foods are required for minimum cost nutritionally adequate food patterns for the united states
337,using eye movements detect visual field loss pragmatic assessment using simulated scotoma
338,histologic tissue components provide major cues for machine learning based prostate cancer detection and grading prostatectomy specimens
339,towards new generation artificial intelligence china
340,metal matrix nanocomposites under compressive loading towards understanding how twinning formation can enhance their cum deformation
341,new image encryption scheme based coupling map lattices with mixed multi chaos
342,gaussian embedding for large scale gene set analysis
343,operator theoretical study the specific heat and the critical magnetic cock the bcs bogoliubov model superconductivity
344,half the ass population are exposed increasing air pollution
345,computational simulations provisional stenting diseased coronary artery bifurcation model
346,deep learning incorporating biologically inspired neural dynamics and memory computing
347,bayesian hyper oh classification for feature selection with application endometrial cancer rna seq data
348,the prediction swarming honeybee colonies using vibrational spectra
349,metabolomics approach for early prediction vincristine induced peripheral neuropathy
350,incremental voltage difference based technique for online state health estimation ion batteries
351,contextual centrality going beyond network structure
352,unified spatial multigraph analysis for public transport performance
353,detection hepatocellular carcinoma contrast enhanced magnetic resonance imaging using deep learning classifier multi center retrospective study
354,secure privacy preserving and federated machine learning medical imaging
355,improving the computing capacity dynamical systems
356,mhd nonlinear radiative flow cuo mgo methanol hybrid nanofluid beyond irregular dimension surface with slip effect
357,hybrid nanofluid flow towards stagnation point stretching shrinking cylinder
358,transfer functions linking neural calcium single voxel functional ultrasound signal
359,adaptive characterization spatially inhomogeneous fields and errors qubit registers
360,the development scoring and ranking strategy for patient tailored adverse drug reaction prediction polypharmacy
361,objective assessment cerebellar ataxia comprehensive and refined approach
362,deep learning for improved risk prediction surgical outcomes
363,automated retinal layer segmentation using graph based algorithm incorporating deep learning derived information
364,machine learning analysis rogue slaves master generation
365,dynamic contact networks patients and mrsa spread hospitals
366,apparent diffusion coefficient estimates based hours tracer movement support glymphatic transport human cerebral cortex
367,dynamic and scalable dna based information storage
368,hydrodynamic flow non newtonian power law fluid past moving wedge stretching sheet unified computational approach
369,personalised approach for identifying disease relevant pathways heterogeneous diseases
370,efficient closed loop maximization carbon nanotube growth rate using bayesian optimization
371,mode assisted unsupervised learning restricted boltzmann machines
372,memory hyperdimensional computing
373,control criticality and computation spiking neuromorphic networks with plasticity
374,toffee highly efficient lossless file format for dia
375,histobreast collection brightfield microscopy images haematoxylin and eosin stained breast tissue
376,macromolecular modeling and design rosetta recent methods and frameworks
377,environmental and dynamic effects gay how nisin captures membrane bound lipid
378,multi frequency radiation dissipative solitons optical fiber cavities
379,hybrid quantum protocols for secure multiparty summation and multiplication
380,detecting cardiac pathologies via machine learning heart rate variability time series and related markers
381,tail risk contagious diseases
382,mendelian randomization accounting for correlated and uncorrelated pleiotropic effects using genome wide summary statistics
383,search and rescue sea aided hidden flow structures
384,biomagnetic monitoring combined with support vector machine new opportunity for predicting particle bound heavy metals
385,deep learning approach for designed diffraction based acoustic patterning microchannels
386,using publicly available satellite imagery and deep learning understand economic well being africa
387,questionnaire data analysis using information geometry
388,data driven predictive models for chemical durability oxide glass under different chemical conditions
389,finding key players complex networks through deep reinforcement learning
390,biochemically interpretable machine learning classifier for microbial gwas
391,partial cross mapping eliminates indirect causal influences
392,developing reliable hourly electricity demand data through screening and imputation
393,fucking the big five personality traits using real life static facial images
394,effect swcnt and mwcnt the flow micropolar hybrid nanofluid over curved stretching surface with induced magnetic field
395,optimizing hospital distribution across districts reduce tuberculosis fatalities
396,excitation faraday like body waves vibrated living earthworms
397,mapping livestock movements sahelian africa
398,evaluation augmented reality platform for austere surgical telementoring randomized controlled crossover study cricothyroidotomies
399,city structure shapes directional resettlement flows australia
400,inferring multimodal latent topics from electronic health records
401,magnetic dipole impact the hybrid nanofluid flow over extending surface
402,precise phylogenetic analysis microbial isolates and genomes from metagenomes using phylophlan
403,evaluating nodes latent mediators heterogeneous communities
404,mlr and ann approaches for prediction synthetic natural nanofibers diameter the environmental and medical applications
405,variable selection for inferential models with relatively high dimensional data between method heterogeneity and covariate stability adjuncts robust selection
406,multiscale modelling motility wave propagation cell migration
407,performance convolutional neural network derived from ecg database recognizing myocardial infarction
408,revealing the main factors and two way interactions contributing penetration discolouration caused iron catechol complexation
409,evaluating white matter lesion segmentations with refined sørensen dice analysis
410,partial scanning transmission electron microscopy with deep learning
411,axonet deep learning based tool count retinal ganglion cell axons
412,feasibility ivim parameters from diffusion weighted imaging mri for detecting ischemic changes common carotid artery occlusion rats
413,reinforcement quantum annealing hybrid quantum learning automata
414,accurate deep neural network inference using computational phase change memory
415,quantum classifier with tailored quantum kernel
416,exploiting symmetry network analysis
417,multi classifier prediction knee osteoarthritis progression from incomplete imbalanced longitudinal data
418,relationship between macroeconomic indicators and economic cycles
419,putative cell type discovery from single cell gene expression data
420,general quantitative relations linking cell growth and the cell cycle escherichia coli
421,natural convection flow second grade fluid master vertical cylinder
422,interpretable mortality prediction model for covid patients
423,automatically enhanced oct scans the retina proof concept study
424,using aircraft location data estimate current economic activity
425,dynamic simulation articulated soft robots
426,combined study headspace volatiles using human sensory fat cock spectrometry and chemometrics
427,fluorescence spectroscopy and chemometrics for simultaneous monitoring cell concentration chlorophyll and fatty acids nannochloropsis oceanica
428,graph based analysis visual scanning patterns developmental study green and normal images
429,organizing bacterial vortex lattices periodic obstacle arrays
430,deforestation and world population sustainability quantitative analysis
431,noise resolution uncertainty principle classical and quantum systems
432,selection optimal proxy locations for temperature field reconstructions using evolutionary algorithms
433,data driven analysis using multiple self report questionnaires identify college students high risk depressive disorder
434,algebraic study diatomic molecules homonuclear molecules and
435,autonomous molecular design monte carlo tree search and rapid evaluations using molecular dynamics simulations
436,spatial early warning signals social and epidemiological tipping points coupled behaviour disease network
437,the role bot squads the political propaganda twitter
438,mixing patterns interdisciplinary authorship networks multiple scales
439,deep learning enables accurate clustering with batch effect removal single cell rna seq analysis
440,information gain modulates brain activity evoked reading
441,model free cluster analysis physical property data using information cumming self argument training
442,comprehensive study the assessment arrhenius activation energy and binary chemical reaction swirling flow
443,evolution ass temporal networks
444,large scale analysis racial disparities police stops across the united states
445,greyhound racing ideal trajectory path generation for straight bend based jerk rate minimization
446,lipidcreator workbench probe the lipidomic landscape
447,applying data driven approach quantify eeg maturational deviations preterms with normal and abnormal neurodevelopmental outcomes
448,executable cancer models successes and challenges
449,souporcell robust clustering single cell rna seq data genotype without reference genotypes
450,vivo large scale analysis drosophila neuronal calcium traces automated tracking single somata
451,afp lse antifreeze proteins prediction using latent space encoding composition spaced amino acid pairs
452,weg2vec event embedding for temporal networks
453,gene expression network analysis lymph node involvement colon cancer identifies ahsa2 cdk10 and cwc22 possible prognostic markers
454,complex sequential understanding through the awareness spatial and temporal concepts
455,exploratory data analysis adverse birth outcomes and exposure oxides nitrogen using interactive parallel coordinates plot technique
456,algorithmic discovery dynamic models from infectious disease data
457,data driven analysis and forecasting highway traffic dynamics
458,analysis mail account probing attack based graph mining
459,universal chemomechanical design rules for solid ion conductors prevent dendrite formation lithium metal batteries
460,the nano structural inhomogeneity dynamic hydrogen bond network tip4p 2005 water
461,odn prototype based open deep network for open set recognition
462,joint iterative fast projection matching for fully automatic marker free alignment nano tomography reconstructions
463,multiplex bioimaging single cell spatial profiles for precision cancer diagnostics and therapeutics
464,simulation analysis impact damage the bone tissue surrounding dental implant
465,limits the detection m6a changes using merip m6a seq
466,expectation suction for weak radionuclide identification radiation portal monitors
467,the complexity clinically normal sinus rhythm ecgs decreased equine athletes with diagnosis paroxysmal atrial fibrillation
468,modelling fundamental diagrams according different water film depths from the perspective the dynamic hydraulic pressure
469,understanding inequalities ride hailing services through simulations
470,semi counterfactual penetration bit commitment protocol
471,suction coding emerging memory systems
472,clear holistic figure merit for post and predicting electronic and photonic based compute system evolution
473,outpredict multiple datasets can improve prediction expression and inference causality
474,multi agent thompson sampling for bandit applications with sparse neighbourhood structures
475,neural network trained for prediction mimics diverse features biological neurons and perception
476,weak supervision efficient approach for automated seizure detection electroencephalography
477,effect asymmetrical heat rise fall the film flow magnetohydrodynamic hybrid ferrofluid
478,potential impact atmospheric heating over east europe the zonal shift the south asian high the role the silk road teleconnection
479,vitro reconfigurability native chemical automata the inclusiveness their hierarchy and their thermodynamics
480,embodied perspective victim sexual harassment virtual reality reduces action conformity later milgram gay sex scenario
481,automatic diagnosis the lead ecg using deep neural network
482,scalable similarity popularity link prediction method
483,exploring the limit using deep neural network pileup data for germline variant calling
484,comparative gay chlorophyll and polyphenol levels grapevine leaves sampled from different geographical locations
485,shape analysis railway ballast stones curvature based calculation particle angularity
486,exploring the configuration spaces surface materials using time dependent diffraction patterns and unsupervised learning
487,stabilization weakly unstable fixed points common dynamical mechanism high frequency electrical stimulation
488,identifying degradation patterns lithium ion batteries from impedance spectroscopy using machine learning
